Fecha,hscgd,hscgd_5,hscgd_6,hscgd_7,hscgd_8,pcfqoya_5,pcfqoya_6,pcfqoya_7,pcfqoya_8,umcsent_5,umcsent_6,umcsent_7,umcsent_8,qtr_5,qtr_6,qtr_7,qtr_8,mes_5,mes_6,mes_7,mes_8,dia_5,dia_6,dia_7,dia_8
01/01/2015,2.925,2.68,2.68,2.68,2.73,2.9,2.9,2.9,2.9,93.6,93.6,93.6,93.6,4,4,4,4,12,12,12,12,1,7,6,5
02/01/2015,2.925,2.68,2.68,2.68,2.68,2.9,2.9,2.9,2.9,93.6,93.6,93.6,93.6,4,4,4,4,12,12,12,12,2,1,7,6
03/01/2015,2.995,2.68,2.68,2.68,2.68,2.9,2.9,2.9,2.9,93.6,93.6,93.6,93.6,4,4,4,4,12,12,12,12,3,2,1,7
04/01/2015,2.995,3.02,2.68,2.68,2.68,2.9,2.9,2.9,2.9,93.6,93.6,93.6,93.6,4,4,4,4,12,12,12,12,4,3,2,1
05/01/2015,2.995,3.03,3.02,2.68,2.68,2.9,2.9,2.9,2.9,93.6,93.6,93.6,93.6,4,4,4,4,12,12,12,12,5,4,3,2
06/01/2015,3.105,2.93,3.03,3.02,2.68,4.1,2.9,2.9,2.9,98.1,93.6,93.6,93.6,1,4,4,4,1,12,12,12,6,5,4,3
07/01/2015,2.915,2.93,2.93,3.03,3.02,4.1,4.1,2.9,2.9,98.1,98.1,93.6,93.6,1,1,4,4,1,1,12,12,7,6,5,4
08/01/2015,3.115,3,2.93,2.93,3.03,4.1,4.1,4.1,2.9,98.1,98.1,98.1,93.6,1,1,1,4,1,1,1,12,1,7,6,5
09/01/2015,2.88,3,3,2.93,2.93,4.1,4.1,4.1,4.1,98.1,98.1,98.1,98.1,1,1,1,1,1,1,1,1,2,1,7,6
10/01/2015,2.885,3,3,3,2.93,4.1,4.1,4.1,4.1,98.1,98.1,98.1,98.1,1,1,1,1,1,1,1,1,3,2,1,7
11/01/2015,2.885,3.11,3,3,3,4.1,4.1,4.1,4.1,98.1,98.1,98.1,98.1,1,1,1,1,1,1,1,1,4,3,2,1
12/01/2015,2.885,2.92,3.11,3,3,4.1,4.1,4.1,4.1,98.1,98.1,98.1,98.1,1,1,1,1,1,1,1,1,5,4,3,2
13/01/2015,2.885,3.12,2.92,3.11,3,4.1,4.1,4.1,4.1,98.1,98.1,98.1,98.1,1,1,1,1,1,1,1,1,6,5,4,3
14/01/2015,2.865,2.88,3.12,2.92,3.11,4.1,4.1,4.1,4.1,98.1,98.1,98.1,98.1,1,1,1,1,1,1,1,1,7,6,5,4
15/01/2015,3.13,2.89,2.88,3.12,2.92,4.1,4.1,4.1,4.1,98.1,98.1,98.1,98.1,1,1,1,1,1,1,1,1,1,7,6,5
16/01/2015,3.235,2.89,2.89,2.88,3.12,4.1,4.1,4.1,4.1,98.1,98.1,98.1,98.1,1,1,1,1,1,1,1,1,2,1,7,6
17/01/2015,3.05,2.89,2.89,2.89,2.88,4.1,4.1,4.1,4.1,98.1,98.1,98.1,98.1,1,1,1,1,1,1,1,1,3,2,1,7
18/01/2015,3.05,2.89,2.89,2.89,2.89,4.1,4.1,4.1,4.1,98.1,98.1,98.1,98.1,1,1,1,1,1,1,1,1,4,3,2,1
19/01/2015,3.05,2.87,2.89,2.89,2.89,4.1,4.1,4.1,4.1,98.1,98.1,98.1,98.1,1,1,1,1,1,1,1,1,5,4,3,2
